,branch,city,cust_type,gender,type,unit_price,quantity,date,time,payment,cost,gross_income,rating,month,day,day_of_week,hour
831,A,Cairo,Normal,Male,Sports and travel,72.61,6,2019-01-01,10:39:00,Credit card,435.66,21.783,6.9,1,1,1,10
804,B,Ismailia,Member,Female,Food and beverages,84.63,10,2019-01-01,11:36:00,Credit card,846.3,42.315,9.0,1,1,1,11
204,C,Alexandria,Member,Female,Sports and travel,29.22,6,2019-01-01,11:40:00,eWallet,175.32,8.766,5.0,1,1,1,11
31,C,Alexandria,Normal,Male,Health and beauty,62.87,2,2019-01-01,11:43:00,Cash,125.74,6.287,5.0,1,1,1,11
686,A,Cairo,Normal,Female,Fashion accessories,65.74,9,2019-01-01,13:55:00,Cash,591.66,29.583,7.7,1,1,1,13
392,A,Cairo,Member,Female,Electronic accessories,74.22,10,2019-01-01,14:42:00,Credit card,742.2,37.11,4.3,1,1,1,14
518,A,Cairo,Member,Male,Home and lifestyle,47.59,8,2019-01-01,14:47:00,Cash,380.72,19.036,5.7,1,1,1,14
555,C,Alexandria,Normal,Female,Electronic accessories,63.22,2,2019-01-01,15:51:00,Cash,126.44,6.322,8.5,1,1,1,15
992,B,Ismailia,Normal,Female,Electronic accessories,74.71,6,2019-01-01,19:07:00,Cash,448.26,22.413,6.7,1,1,1,19
836,B,Ismailia,Normal,Male,Food and beverages,21.12,8,2019-01-01,19:31:00,Cash,168.96,8.448,6.3,1,1,1,19
484,C,Alexandria,Member,Female,Sports and travel,36.98,10,2019-01-01,19:48:00,Credit card,369.8,18.49,7.0,1,1,1,19
87,A,Cairo,Member,Female,Sports and travel,27.04,4,2019-01-01,20:26:00,eWallet,108.16,5.408,6.9,1,1,1,20
175,B,Ismailia,Normal,Female,Health and beauty,34.21,10,2019-01-02,13:00:00,Cash,342.1,17.105,5.1,1,2,2,13
113,B,Ismailia,Member,Male,Fashion accessories,40.61,9,2019-01-02,13:40:00,Cash,365.49,18.2745,7.0,1,2,2,13
749,A,Cairo,Member,Male,Food and beverages,41.66,6,2019-01-02,15:24:00,eWallet,249.96,12.498,5.6,1,2,2,15
304,C,Alexandria,Member,Female,Sports and travel,31.67,8,2019-01-02,16:19:00,Credit card,253.36,12.668,5.6,1,2,2,16
494,A,Cairo,Normal,Male,Sports and travel,42.47,1,2019-01-02,16:57:00,Cash,42.47,2.1235,5.7,1,2,2,16
431,C,Alexandria,Normal,Male,Fashion accessories,99.82,2,2019-01-02,18:09:00,Credit card,199.64,9.982,6.7,1,2,2,18
799,B,Ismailia,Normal,Male,Electronic accessories,22.01,6,2019-01-02,18:50:00,Cash,132.06,6.603,7.6,1,2,2,18
708,B,Ismailia,Normal,Male,Sports and travel,44.63,6,2019-01-02,20:08:00,Credit card,267.78,13.389,5.1,1,2,2,20
302,C,Alexandria,Member,Male,Health and beauty,75.88,1,2019-01-03,10:30:00,Credit card,75.88,3.794,7.1,1,3,3,10
179,A,Cairo,Normal,Male,Health and beauty,70.01,5,2019-01-03,11:36:00,eWallet,350.05,17.5025,5.5,1,3,3,11
811,A,Cairo,Normal,Female,Health and beauty,23.03,9,2019-01-03,12:02:00,eWallet,207.27,10.3635,7.9,1,3,3,12
973,B,Ismailia,Normal,Male,Sports and travel,93.38,1,2019-01-03,13:07:00,Cash,93.38,4.669,9.6,1,3,3,13
400,A,Cairo,Normal,Female,Home and lifestyle,67.09,5,2019-01-03,16:47:00,Credit card,335.45,16.7725,9.1,1,3,3,16
548,B,Ismailia,Member,Male,Health and beauty,62.0,8,2019-01-03,19:08:00,Credit card,496.0,24.8,6.2,1,3,3,19
720,C,Alexandria,Member,Female,Health and beauty,21.12,2,2019-01-03,19:17:00,Cash,42.24,2.112,9.7,1,3,3,19
490,B,Ismailia,Normal,Female,Home and lifestyle,63.15,6,2019-01-03,20:24:00,eWallet,378.9,18.945,9.8,1,3,3,20
29,A,Cairo,Member,Male,Health and beauty,20.97,5,2019-01-04,13:21:00,Cash,104.85,5.2425,7.8,1,4,4,13
692,B,Ismailia,Normal,Male,Sports and travel,46.42,3,2019-01-04,13:24:00,Credit card,139.26,6.963,4.4,1,4,4,13
779,A,Cairo,Member,Female,Home and lifestyle,35.54,10,2019-01-04,13:34:00,eWallet,355.4,17.77,7.0,1,4,4,13
710,C,Alexandria,Member,Female,Electronic accessories,66.65,9,2019-01-04,18:19:00,Credit card,599.85,29.9925,9.7,1,4,4,18
760,B,Ismailia,Member,Female,Fashion accessories,68.71,4,2019-01-04,19:01:00,Cash,274.84,13.742,4.1,1,4,4,19
219,B,Ismailia,Member,Male,Electronic accessories,72.17,1,2019-01-04,19:40:00,Cash,72.17,3.6085,6.1,1,4,4,19
132,A,Cairo,Member,Male,Home and lifestyle,62.65,4,2019-01-05,11:25:00,Cash,250.6,12.53,4.2,1,5,5,11
293,B,Ismailia,Member,Female,Fashion accessories,73.96,1,2019-01-05,11:32:00,Credit card,73.96,3.698,5.0,1,5,5,11
480,A,Cairo,Normal,Female,Electronic accessories,93.88,7,2019-01-05,11:51:00,Credit card,657.16,32.858,7.3,1,5,5,11
579,C,Alexandria,Member,Female,Fashion accessories,31.9,1,2019-01-05,12:40:00,eWallet,31.9,1.595,9.1,1,5,5,12
814,A,Cairo,Member,Female,Health and beauty,74.69,7,2019-01-05,13:08:00,eWallet,522.83,26.1415,9.1,1,5,5,13
46,A,Cairo,Member,Male,Home and lifestyle,70.74,4,2019-01-05,16:05:00,Credit card,282.96,14.148,4.4,1,5,5,16
120,A,Cairo,Normal,Female,Home and lifestyle,42.91,5,2019-01-05,17:29:00,eWallet,214.55,10.7275,6.1,1,5,5,17
412,C,Alexandria,Normal,Female,Health and beauty,78.89,7,2019-01-05,19:48:00,eWallet,552.23,27.6115,7.5,1,5,5,19
924,B,Ismailia,Member,Female,Home and lifestyle,35.38,9,2019-01-05,19:50:00,Credit card,318.42,15.921,9.6,1,5,5,19
871,C,Alexandria,Normal,Female,Fashion accessories,76.06,3,2019-01-05,20:30:00,Credit card,228.18,11.409,9.8,1,5,5,20
920,B,Ismailia,Normal,Female,Food and beverages,71.2,1,2019-01-05,20:40:00,Credit card,71.2,3.56,9.2,1,5,5,20
648,C,Alexandria,Normal,Male,Fashion accessories,27.38,6,2019-01-05,20:54:00,Credit card,164.28,8.214,7.9,1,5,5,20
481,A,Cairo,Normal,Female,Sports and travel,15.34,1,2019-01-06,11:09:00,Cash,15.34,0.767,6.5,1,6,6,11
773,B,Ismailia,Member,Male,Health and beauty,80.47,9,2019-01-06,11:18:00,Cash,724.23,36.2115,9.2,1,6,6,11
741,A,Cairo,Member,Male,Home and lifestyle,58.9,8,2019-01-06,11:23:00,Cash,471.2,23.56,8.9,1,6,6,11
928,A,Cairo,Normal,Female,Fashion accessories,42.57,7,2019-01-06,11:51:00,Cash,297.99,14.8995,6.8,1,6,6,11
909,C,Alexandria,Normal,Female,Fashion accessories,81.68,4,2019-01-06,12:12:00,Cash,326.72,16.336,9.1,1,6,6,12
364,C,Alexandria,Normal,Male,Food and beverages,89.48,10,2019-01-06,12:46:00,Credit card,894.8,44.74,9.6,1,6,6,12
940,A,Cairo,Normal,Male,Sports and travel,64.59,4,2019-01-06,13:35:00,eWallet,258.36,12.918,9.3,1,6,6,13
699,A,Cairo,Normal,Female,Food and beverages,40.94,5,2019-01-06,13:58:00,eWallet,204.7,10.235,9.9,1,6,6,13
896,B,Ismailia,Normal,Male,Home and lifestyle,62.19,4,2019-01-06,19:46:00,eWallet,248.76,12.438,4.3,1,6,6,19
22,A,Cairo,Member,Female,Home and lifestyle,21.54,9,2019-01-07,11:44:00,Credit card,193.86,9.693,8.8,1,7,0,11
531,A,Cairo,Normal,Male,Sports and travel,60.95,9,2019-01-07,12:08:00,Credit card,548.55,27.4275,6.0,1,7,0,12
991,B,Ismailia,Member,Female,Food and beverages,89.14,4,2019-01-07,12:20:00,Credit card,356.56,17.828,7.8,1,7,0,12
151,C,Alexandria,Member,Female,Sports and travel,68.12,1,2019-01-07,12:28:00,eWallet,68.12,3.406,6.8,1,7,0,12
362,C,Alexandria,Normal,Male,Food and beverages,27.22,3,2019-01-07,12:37:00,Cash,81.66,4.083,7.3,1,7,0,12
7,B,Ismailia,Member,Female,Fashion accessories,97.61,6,2019-01-07,15:01:00,eWallet,585.66,29.283,9.9,1,7,0,15
869,A,Cairo,Member,Male,Electronic accessories,77.72,4,2019-01-07,16:11:00,Credit card,310.88,15.544,8.8,1,7,0,16
513,C,Alexandria,Member,Female,Home and lifestyle,21.82,10,2019-01-07,17:36:00,Cash,218.2,10.91,7.1,1,7,0,17
570,B,Ismailia,Normal,Male,Fashion accessories,47.97,7,2019-01-07,20:52:00,Cash,335.79,16.7895,6.2,1,7,0,20
425,C,Alexandria,Member,Male,Home and lifestyle,55.57,3,2019-01-08,11:42:00,Credit card,166.71,8.3355,5.9,1,8,1,11
835,B,Ismailia,Member,Female,Sports and travel,64.83,2,2019-01-08,11:59:00,Credit card,129.66,6.483,8.0,1,8,1,11
357,B,Ismailia,Member,Female,Sports and travel,48.5,3,2019-01-08,12:50:00,Cash,145.5,7.275,6.7,1,8,1,12
170,B,Ismailia,Member,Female,Home and lifestyle,49.1,2,2019-01-08,12:58:00,Credit card,98.2,4.91,6.4,1,8,1,12
711,A,Cairo,Normal,Male,Sports and travel,37.14,5,2019-01-08,13:05:00,eWallet,185.7,9.285,5.0,1,8,1,13
813,C,Alexandria,Normal,Female,Home and lifestyle,45.38,4,2019-01-08,13:48:00,Credit card,181.52,9.076,8.7,1,8,1,13
108,C,Alexandria,Normal,Male,Fashion accessories,12.78,1,2019-01-08,14:11:00,eWallet,12.78,0.639,9.5,1,8,1,14
